hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Pellegro de Camulio,male,artefices,draperius,Camogli,---,Tartaran,,40,,Agostino de Andoria,male,artefices,,Andora,4,30,,,,,7.5,1403,1403
Bartolomeo de Insulahona,male,artefices,accimator,,Giorgetto,,male,21,,Bartolomeo de Petra,male,artefices,accimator,,5,45,,,,,9,1419,1419
Giacomo Spinola,male,nobiles,,,Giorgio,Greek,male,25,,Antonio Cattaneo,male,nobiles,,,4,20,,,,,5,1421,1421
Luchino Spinola,male,nobiles,,,Calì,Hungarian,male,40,,Gaspare de Lanfranco,male,artefices,,,8,58,,,,,7.25,1426,1426-10-03
Bartolomeo Bosco,male,artefices,legum doctor,,Calì,Abkhazan,male,18,,Agostino de Pinu,male,artefices,,Pinu,4,35,,,,,8.75,1432,1432-11-21
Pietro,male,,,,Calì,Albanian,male,30,,Francesco Cibo,male,nobiles,,,10,100,,,,,10,1433,1433
Melchiorre de Gradi,male,artefices,,,Cali,Circassian,male,24,,Colombino de Campis,male,foreign,,Bobbio,11,125,,,,,11.36,1434,1434-08-25
Cristoforo de Fornari,male,mercantes,,,Giacobino,Russian,male,20,,Illario Squarciafico,male,nobiles,,,7,80,,,,,11.43,1448,1448-10-01
Francesco de Campenago,male,foreign,mercator,Milan,Asperto,Tartaran,male,18,,Lorenzo Raffono,male,foreign,,Venice,6,,25,,,,,1454,1454-04-30
Simone Lecavello,male,nobiles,,,Calì,Bulgarian,male,24,,Giacomo de Niela,male,foreign,,,3,40,,,,,13.33,1457,1457-05-30
Argentina Carrega,female,artefices,,,Giorgio,Circassian,male,25,,Niccolò de Varixio,male,mercantes,,Varese Ligure,6,60,,,,,10,1462,1462-09-09
Paolo Doria,male,nobiles,,,Giorgio,,male,18,,Lorenzo Cattaneo,male,nobiles,,,2.5,50,,,,,20,1467,1467-11-16
Antonio de Franchi,male,mercantes,,,Valentino,Circassian,male,25,,Genesio de Guizo,male,mercantes,,,3,62.5,,,,,20.83,1469,1469-02-22
Oberto Ittaliano,male,nobiles,,,Lazzarino,Abkhazan,male,18,,Niccolò Spinola,male,nobiles,,,11,100,,,,,9.09,1475,1475-09-15
Brunoro Spinola,male,nobiles,,,Lazzaro,Abkhazan,male,20,,Girolamo Palmario,male,mercantes,,,9,90,,,,,10,1477,1477-02-03
Giovanni Battista de Savinione,male,mercantes,,Savignone,Jachino,Canaries,male,30,,Filippo Spinola,male,nobiles,,,8,,,,,,,1481,1481-09-03
Martino de Coronato,male,artefices,,,Pietro,Albanian,male,17,,Bartolomeo Palarmio,male,mercantes,,,8,,12,,,,,1481,1481-01-26
Tommaso de Franchi,male,mercantes,,,Giorgio,,male,23,,Battista Leardi,male,artefices,,,5,42,,,,,8.4,1484,1484
Alessandro de Franchi,male,mercantes,,,,Moorish,,20,,Teramo Centurione,male,nobiles,,,8,80,,,,,10,1485,1485
Francesco Grimaldi,male,nobiles,,,Giorgino,Moorish,male,30,,Gabriele de Pinu,male,artefices,calzolarius,,4,100,,,,,25,1493,1493
Benedetto de Passano,male,nobiles,,,Calì,Albanian,male,,,Paolo Salucio,male,artefices,seatarius,,10,100,,,,,10,1493,1493
Argentina Giustiniani,female,mercantes,,,,Albanian,,40,,Battista Spinola,male,nobiles,,,5,60,,,,,12,1497,1497
Niccolò Spinola,male,nobiles,,,,Moorish,,40,,Andrea Valletaro,male,mercantes,coperterius,,5,63,,,,,12.6,1499,1499
Giovannina de Vigono,female,artefices,,,Giorgio,Albanian,male,28,,Domenico Ricci,male,artefices,ortolanus,,8,20,,,,,2.5,1387,1387-10-02
Giovannina de Vigono,female,artefices,,,Andrea,Albanian,male,8,,Domenico Ricci,male,artefices,ortolanus,,12,20,,,,,1.67,1387,1387-10-02