ID,occupationName,occupation_altLatinNames,occupation_Description
6318129b-0707-483b-94d1-1d6321f6ce7d,notary,notarius,
82f46dea-1ae5-4287-968b-ec92e9f6e12e,armorer,osbergerius,
b1b1460b-3f42-4136-9363-f34572875c6d,baker,panetarius | coquarius | fornarius,
ba2ba590-a307-4c12-93ce-fc2ad43fb1c9,banker,bancherius,
a6222467-defd-490a-ab9d-41ce48081599,barber,barberius,
8f4c9e42-ac48-44d4-8700-9ff9267ce184,bell ringer,campanarius,
b8b90696-c989-4639-9942-3391dbaea911,belt maker,corrigiarius,
15d75936-bec7-4753-ab2e-2bee083b4e53,blacksmith,faber | ferrarius,
1117d864-a595-473c-80cd-390980bde621,boat maker,barcharolius,
11ee454e-defa-4209-9910-9761f122e74d,boot maker,caligarius,
9ee6eabd-c79d-4740-b2f9-12acc2874f02,bottle maker,baticularius,
94c6d580-8164-4b84-98cd-929c90fae98c,butcher,macelarius,
0cb7f466-8a6d-4f3e-9fd5-c5484f9aac2b,butler,canavarius,
0779f6cd-2efd-4b5b-8da1-95317120084b,canon,canonicus,
87c6d44c-7694-4942-907b-54cc801fcb83,carder,carzatorius,
e2922d15-efee-48f1-b894-ffabcf1a8186,carpenter,magisteraxie | carpentator,
3b033648-e87c-4a91-b175-6311e3c3f515,chaplain,capellanus,
61475b7b-7c11-44fc-9e1c-245d4f22e4c7,carrier,bastaxius,
aeffe4e2-8806-48b8-b0ec-8bd17b8e94fc,carrier,victurale,
42df193b-5f89-4313-b861-15b3e2fdba02,caulker,calafatus,
9ae371ec-90f1-45da-99b0-ccbcda34f1d3,chancellor,canzelerius,
9d435889-903c-41f2-a47e-248dfa891226,chaudronniers,calderlarius,
85af5444-9d3f-44d6-874e-7f5c8deeaebb,cheese maker,formaiarus,
00672139-f856-4b0f-a4a5-7ee7c64dafb1,chest maker,capsiarus,
382fc096-3826-46fa-8391-f5508184a1b6,clerk,placerius,
57983b68-5836-470c-9db7-d847508a77bc,clog maker,zocularius,
8dd7e286-95ea-4bf3-9907-e2229f98b717,cotton weaver,bambaxarius,
13b4beaf-5db2-4c08-86d5-684eab7b16fe,crossbowman,balistarius,
285a727f-defd-4eb5-b688-68d53dd20a52,cutler,cultellarius,
4f8859f2-fad6-47dc-8c6f-d00a11fcde60,draper,draperius,
22eadde6-71fb-4856-927c-9bc3189bbfbd,druggist,speziarius,
4cbe508b-ec39-458a-bb11-8825fb4ae54a,dyer,tinctor,
09f86e88-e3b5-4ea2-94f0-b16ed49d2ba6,dyer (blue),tinctor endigi,
49dff574-0747-4e95-a091-3bc0f3a8f511,dyer (red),tinctor vermilii,
b72b0c73-bb5f-467f-904d-98794f489207,fisherman,piscator,
b54e5a92-4311-4942-8143-00fb7bc8256a,flax breaker,battitor,
d1d7510b-1426-46c7-a323-62e58f05e2f8,gardener,ortolanus,
a5651c31-b704-4b6a-a91f-dcbbe2302dce,glove maker,guanterius,
b6e6e533-d67e-43e6-860f-4e69966f86b1,innkeeper,tabernarius,
2d501cd2-4f2a-4b4b-9a9f-0f2ae82af55e,judge,iudex,
e221a5b8-0c18-4cae-9303-b8c018a082fb,larder,lardarolus,
f095672b-a57b-42ba-bcf7-a78b07bbbf41,locksmith,clavonerius,
bd0fa654-5012-426a-9e91-42a334a872e7,mason,murarius,
c6e76c98-67dc-4a00-b23a-319024e9e6ad,mat maker,spatarius,
17592a33-5349-407e-8132-0590f46213eb,mercer,mercerius,
bb13a35c-d883-4191-821c-0317132fdf4e,messenger,baiolus,
e093559e-4da1-44d7-a7c0-f717f09be451,miller,molinarius,
0a143ac9-9c2c-4bdf-a007-11bcad588f57,money changer,campsor,
9a6269fa-6576-4095-ab68-e94097d8951c,muleteer,mulatius,
f39bc287-e92e-49ca-b217-bd4342d8aeaf,pelter,peliparius,
42bafe73-9c58-4278-af4d-dd113a6be908,physician,medicus,
61668401-bbfe-486d-9b85-f7a9dccdb299,potter,tornator,
7968ac54-5a94-42f9-8987-4e6e8e0498f4,pulley maker,tairius,
0c7e5aeb-53cc-47dd-82b7-e8fa1d91b6a6,rope maker,canabaserius,
2e32039d-cbc7-4975-9003-08b1d562ff19,sacristan,stationarius,
e8161819-adbc-42be-a3ad-65610086ae8a,saddle maker,selarius,
7eb7d08c-a714-465f-8f9f-680f54a074b2,sailor,marinarius | galeotius | vogherius,
fb1f2c4b-bc0d-4024-b481-6b097dd7e6d0,professor of grammar,gramatice professor,
57c1b93d-84ad-49b6-9f4e-db7cd9b249b7,schoolteacher,magistri scolarum,
5fbc1093-4114-473e-9792-07e2aeff15ce,scribe,clericus,
f0927b78-5860-4222-a693-08cbf635eb7d,scribe,scriba,
c1da97f6-2618-45e7-989f-e81bc87f3336,servant,servante,
0c7366ce-686c-4e7b-ae82-d90da896b0f7,shearer,acimator,
a3b02256-9069-4015-bd4e-ba27a2f3fa18,sheep shearer,tonditor,
44eaf598-5d18-434b-9f8a-6cc0214bd60f,shield maker,scudarius,
23725b83-2eeb-477c-af00-4e7de969ad56,shoemaker,boterius | calzolarius | cordonanerius,
e5ed74e8-4a3c-43c8-ba09-20756f560eaa,silver worker,platarolius,
0324ae9c-3ddb-47e6-973b-2e91d023f29c,spinner,filator,
eb35f85f-9cf9-4d26-8648-86fc7b8771d8,stable man,marescalcus,
ba88a708-f38c-47d3-90bb-1112b2aae59e,stocking maker,calegarius,
04eb3dde-b066-4365-b93d-86391c0fcf4c,surgeon,cirurgie,
d96af5ad-4304-4c04-b26d-7f705771c70a,tailor,sartor,
e10e0f68-2b50-4edf-a036-5eeb1de61df8,tailor,taliator,
5e21ded1-945e-4a87-979f-91072f5ecb73,tanner,afaitator | beccuniere | pellarius | conciapellius | coriarius | ervarius,
c3e8ea11-1e59-4127-902d-71acd9f3c852,weaver,testor,
c8d83d1e-a871-4410-abaa-ce1c33bf9467,wool worker,lanerius,
e78d3c2d-31cb-4274-90fe-c7ce91bfe411,cardinal,cardinalis,